date,OT
2024/3/21 16:45,1199
2024/3/21 17:00,1123
2024/3/21 17:15,773
2024/3/21 17:30,901
2024/3/21 17:45,727
2024/3/21 18:00,658
2024/3/21 18:15,632
2024/3/21 18:30,555
2024/3/21 18:45,700
2024/3/21 19:00,659
2024/3/21 19:15,618
2024/3/21 19:30,778
2024/3/21 19:45,513
2024/3/21 20:00,639
2024/3/21 20:15,670
2024/3/21 20:30,344
2024/3/21 20:45,455
2024/3/21 21:00,1348
2024/3/21 21:15,1361
2024/3/21 21:30,1924
2024/3/21 21:45,1861
2024/3/21 22:00,1926.1
2024/3/21 22:15,1885
2024/3/21 22:30,2135
2024/3/21 22:45,2213
2024/3/21 23:00,1848
2024/3/21 23:15,1634
2024/3/21 23:30,1465
2024/3/21 23:45,1423.9
2024/3/22 0:00,1900
2024/3/22 0:15,1821
2024/3/22 0:30,1428
2024/3/22 0:45,1555
2024/3/22 1:00,1042
2024/3/22 1:15,1257
2024/3/22 1:30,1771
2024/3/22 1:45,1808
2024/3/22 2:00,1368
2024/3/22 2:15,1652
2024/3/22 2:30,1651
2024/3/22 2:45,1357
2024/3/22 3:00,901
2024/3/22 3:15,914
2024/3/22 3:30,439
2024/3/22 3:45,502.1
2024/3/22 4:00,206
2024/3/22 4:15,286
2024/3/22 4:30,193
2024/3/22 4:45,217
2024/3/22 5:00,274
2024/3/22 5:15,446
2024/3/22 5:30,334
2024/3/22 5:45,350
2024/3/22 6:00,498
2024/3/22 6:15,601
2024/3/22 6:30,564
2024/3/22 6:45,707
2024/3/22 7:00,711.2
2024/3/22 7:15,847
2024/3/22 7:30,813
2024/3/22 7:45,775
2024/3/22 8:00,678
2024/3/22 8:15,752
2024/3/22 8:30,613
2024/3/22 8:45,723
2024/3/22 9:00,744.1
2024/3/22 9:15,813
2024/3/22 9:30,711
2024/3/22 9:45,762
2024/3/22 10:00,856
2024/3/22 10:15,1469
2024/3/22 10:30,1766
2024/3/22 10:45,1544
2024/3/22 11:00,1388
2024/3/22 11:15,1434.2
2024/3/22 11:30,1496
2024/3/22 11:45,1770
2024/3/22 12:00,2020
2024/3/22 12:15,0
2024/3/22 12:30,0
2024/3/22 12:45,0
2024/3/22 13:00,0
2024/3/22 13:15,0
2024/3/22 13:30,0
2024/3/22 13:45,0
2024/3/22 14:00,0
2024/3/22 14:15,0
2024/3/22 14:30,0
2024/3/22 14:45,0
2024/3/22 15:00,0
2024/3/22 15:15,0
2024/3/22 15:30,0
2024/3/22 15:45,0
2024/3/22 16:00,0
2024/3/22 16:15,0
2024/3/22 16:30,0
2024/3/22 16:45,0
2024/3/22 17:00,0
2024/3/22 17:15,0
2024/3/22 17:30,0
2024/3/22 18:00,0
2024/3/22 18:15,0
2024/3/22 18:30,0
2024/3/22 18:45,0
2024/3/22 19:00,0
2024/3/22 19:15,0
2024/3/22 19:30,0
2024/3/22 19:45,0
2024/3/22 20:00,0
2024/3/22 20:15,0
2024/3/22 20:30,2279
2024/3/22 20:45,1778.1
2024/3/22 21:00,1912
2024/3/22 21:15,1589
2024/3/22 21:30,1712
2024/3/22 21:45,1583
2024/3/22 22:00,2149
2024/3/22 22:15,2340
2024/3/22 22:30,1973
2024/3/22 22:45,1466.2
2024/3/22 23:00,2077
2024/3/22 23:15,2178
2024/3/22 23:30,2124
2024/3/22 23:45,1648
2024/3/23 0:00,1457
2024/3/23 0:15,1205
2024/3/23 0:30,1234
2024/3/23 0:45,1163
2024/3/23 1:00,1310
2024/3/23 1:15,1432.2
2024/3/23 1:30,1730
2024/3/23 1:45,1977
2024/3/23 2:00,2122.9
2024/3/23 2:15,1866
2024/3/23 2:30,1742
2024/3/23 2:45,1282
